,0,1
1901,5570530.77645585,4946930.500570404
1902,5570883.861181657,4946128.754736276
1903,5571276.9007635685,4944827.225750101
1904,5571103.854593299,4944989.9408057295
1905,5570576.967746913,4945812.986271935
1906,5571759.8803738,4947065.633922205
1907,5570871.685847159,4947877.13289453
1908,5571188.225363711,4947594.242621315
1909,5571138.722106458,4947865.434380368
1910,5571281.635859022,4947889.109851423
1911,5571379.092949133,4947820.821968074
1912,5571494.284635431,4947696.2623780845
1913,5571286.256017177,4947126.523468459
1914,5571082.927916628,4948096.897697293
1915,5570675.974263551,4947679.474316391
1916,5570518.855228511,4947632.123374141
1917,5570136.295592124,4947619.015783672
1918,5570609.682944915,4947645.037267314
1919,5569437.1014333125,4945880.999441553
1920,5569660.942250592,4945777.688295115
1921,5569938.160493568,4945576.23155953
1922,5569171.936157579,4945808.68163894
1923,5569330.346582113,4945838.81405665
1924,5569820.644064657,4945668.35066496
1925,5569994.981624351,4945541.794510505
1926,5570049.219976228,4945527.15876476
1927,5568498.71298587,4947150.265371142
1928,5568295.384885195,4947142.96016992
1929,5567742.624659463,4947452.213688262
1930,5567325.24941555,4947420.335522882
1931,5567136.292958265,4947412.035081354
1932,5567215.432638168,4947441.864653008
1933,5567177.080331754,4947438.820819166
1934,5567529.288930065,4947482.322210477
1935,5567580.083577064,4947489.209620241
1936,5567873.659418346,4947408.2825553985
1937,5567952.64919513,4947363.33373959
1938,5568018.72548647,4947313.15020805
1939,5568129.800324763,4947217.83848192
1940,5568188.850701414,4947156.353038207
1941,5568233.290675516,4947138.090035152
1942,5568389.743735127,4947173.3985076295
1943,5568450.049523319,4947174.110623063
1944,5568593.60897056,4947058.531277983
1945,5568646.643311872,4946962.765205347
1946,5568939.438297774,4946987.907794855
1947,5573956.938845733,4943854.078678354
1948,5568754.29825543,4946491.681001815
1949,5568795.791170487,4946833.097883366
1950,5569060.225499261,4947242.158771629
1951,5568829.882109523,4946438.617017371
1952,5568796.920931218,4946810.753556928
1953,5565714.965605601,4945720.414220651
1955,5569850.510707421,4944300.622100158
1956,5570689.989212312,4943942.459213038
1957,5570699.858991462,4943679.147745954
1958,5574514.5248262575,4937241.531911211
1959,5570462.392035719,4940599.394814589
1960,5574002.24188106,4937117.6968459785
1961,5570500.632941193,4940459.178161189
1962,5569659.3330209125,4941198.502333538
1963,5568217.8496201895,4932269.58681479
1964,5570406.624048579,4940317.368136713
1965,5570290.307961099,4940312.588023529
1966,5570282.341105791,4940263.193520624
1967,5567169.102594329,4955619.341127149
1968,5570344.482577185,4940237.699583642
1969,5568514.42723173,4939809.209853404
1970,5569521.6822650805,4941368.539793107
1971,5568083.135387759,4957031.639884255
1972,5566366.393673272,4957306.506180534
1973,5575361.4623857625,4937844.5088287955
1974,5566589.663907189,4957011.939569401
1975,5560384.419112311,4933670.61145696
1976,5560596.689225172,4929924.043964965
1977,5558654.417692495,4932248.401700794
1978,5580605.800740665,4948532.1727316575
1979,5574423.072860576,4936056.816206958
1980,5580600.493987844,4948030.684590004
1981,5577364.342643599,4949964.117620541
1982,5577115.307242059,4949071.004726328
1983,5574860.224509865,4940085.963676941
1984,5571261.006242973,4942839.842386392
1986,5568719.483624121,4945145.182827657
1987,5570564.264600829,4942324.7102920525
1988,5568278.676994836,4945229.731120158
1989,5568447.95290486,4944968.293520915
1990,5570359.3663895875,4942133.3715210585
1993,5572855.80562479,4937520.648432724
1994,5570697.97920367,4942558.062533404
1995,5570243.615839847,4939919.772166689
1996,5567401.901756525,4944658.440663683
1997,5566503.965477599,4946595.934044066
1998,5565383.051733437,4946159.01874054
1999,5565843.8018878065,4947385.60659232
2000,5564593.10416805,4948772.666584667
2001,5564531.315013322,4950398.360553571
2002,5570999.673301421,4943135.263509131
2003,5574788.783607162,4940236.5564601105
2004,5574315.7097956445,4940834.678444737
2005,5574258.4588250015,4941238.4484493155
2006,5574036.987964195,4941283.646584171
2007,5572823.418043468,4942683.282160093
2008,5567047.485333757,4946821.687851745
2009,5573100.831595826,4942566.052508845
2010,5573523.235831706,4941565.381624425
2011,5573770.318968936,4941390.615502969
2012,5573877.287888102,4941408.694756912
2013,5565919.973011075,4944514.00888009
2014,5565702.645639013,4944532.119494426
2015,5565894.543970175,4944305.141898695
2016,5565719.158258102,4944692.984362829
2017,5565716.494932599,4944795.788732319
2018,5565654.24055336,4944902.510580899
2019,5565477.328290437,4945156.935688703
2020,5565394.351278011,4945401.949971008
2022,5565575.520468764,4945497.996007398
2023,5565297.175288434,4945377.090996458
2024,5566259.813363302,4944517.737535164
2025,5566316.275866829,4944531.586828482
2026,5566357.824853354,4944552.978337311
2027,5566395.489965643,4944583.863729559
2028,5566597.37496802,4944824.167146569
2030,5565201.407754865,4946534.407708182
2031,5565201.407754865,4946362.8895370895
2033,5565246.151625585,4946244.637878759
2034,5565328.182055239,4946096.556973282
2035,5565458.381969628,4945627.940644747
2037,5565911.983035374,4945416.876270178
2038,5565728.064174674,4945420.78252626
2041,5566242.7680799,4945246.956094201
2042,5566330.657826093,4945188.895595155
2043,5566386.054999367,4945129.237100862
2044,5566588.467747864,4944979.02553487
2045,5566614.03567406,4944935.346994339
2046,5566620.427655591,4944872.492509279
2047,5564484.440493936,4945234.704795931
2048,5564517.465731849,4945220.855502611
2049,5564419.455348365,4944997.136149009
2050,5564123.530387601,4945122.474835654
2051,5564338.974830443,4944775.955801714
2052,5550134.441955656,4955247.743865042
2053,5549823.365521119,4955004.848566843
2054,5549433.4546480095,4954940.9287511045
2055,5549233.172559715,4954640.5056195315
2056,5549196.8463495495,4954362.480205809
2057,5549202.119465259,4954116.903673093
2058,5549337.574924784,4953683.839050231
2059,5549073.373021495,4953221.485719419
2060,5549128.770194788,4952857.142772093
2061,5550015.124967177,4951987.833283782
2062,5550722.504256683,4952064.5370621495
2063,5579522.543416989,4947745.3787503345
2064,5580460.295496937,4946202.467033118
2065,5582906.606107012,4946845.722484578
2066,5585360.898514025,4945772.910619548
2067,5585537.818365463,4944628.577963515
2068,5584969.41628963,4944191.92471317
2069,5580556.117713117,4946072.042349984
2070,5582183.8696927335,4942467.89722481
2071,5581816.44602452,4952275.1999858115
2072,5598160.573126892,4953405.481917864
2073,5613357.87778592,4960696.6136094
2074,5582274.263279563,4955043.3973419
2075,5549239.564541441,4953512.853544057
2076,5598320.797025883,4956429.004077151
2077,5581337.854024338,4948048.401046413
2078,5582022.006849931,4956685.477625515
2079,5581999.421336982,4956459.622496034
2080,5585693.152606047,4954173.494367752
2081,5582530.18089126,4956068.140271604
2082,5582215.70525857,4951817.382730768
2083,5582827.902750782,4950529.106268896
2084,5559100.51100055,4955484.900554465
2085,5559594.574622951,4956019.042969367
2086,5559351.679324749,4955712.227855844
2087,5560434.054864099,4957463.630795539
2088,5562202.503087897,4959717.869615694
2089,5561912.733258459,4959381.225255025
2090,5561904.210616417,4959180.943167033
2091,5561081.77565934,4957821.581761294
2092,5562026.336930669,4959579.851573035
2093,5573750.649847273,4943746.365848868
2094,5573800.355267833,4943621.696916772
2095,5573899.786745753,4943586.876843799
2096,5558167.922817936,4951285.993825652
2097,5559383.75264577,4953664.922323919
2098,5558666.608905944,4952851.355896384
2099,5558148.336959516,4952236.66126225
2100,5559820.424637168,4954161.107004067
2101,5559240.884978294,4953496.34092477
2102,5559215.317052164,4953342.9333680095
2103,5558904.240617622,4953108.560711844
2104,5559025.688266725,4953142.651280013
2105,5558030.669808289,4951706.586095891
2106,5558060.499055437,4952043.23045656
2107,5558158.509438923,4951442.384192578
2108,5561755.064380782,4953146.912601023
2109,5562057.6181732835,4953006.289007323
2110,5562851.956194316,4952001.630960905
2111,5564825.608083344,4950055.097952795
2112,5563903.56613215,4950904.8228882095
2113,5564691.1145644635,4950142.681281014
2115,5564586.712199479,4950184.229160942
2116,5564495.093797523,4950266.2595906
2117,5564288.419728061,4950615.687914279
2118,5564201.062647128,4950696.65301368
2119,5563183.409183486,4951688.257225702
2120,5563719.356407748,4951070.276173297
2121,5563322.432265174,4951395.608649465
2122,5562538.582459481,4952574.140668983
2123,5562302.644132286,4952846.489468785
2124,5561664.751852163,4953196.368325565
2125,5561515.598007116,4953413.319372909
2126,5561017.855844428,4953884.121137414
2127,5565196.08110577,4949499.221806555
2128,5565360.141965086,4949571.664263916
2129,5565146.0105837695,4949319.180993411
2130,5565128.43558729,4948967.329506762
2131,5565303.679461556,4948633.108308999
2132,5565334.574038959,4948499.942027086
2133,5565157.06107275,4948881.45305048
2134,5565277.589432384,4948697.647302035
2135,5565323.92073647,4948350.795791284
2136,5565330.845383263,4948239.468779482
2137,5565362.2726257965,4948000.302137166
2138,5565416.604468816,4947797.889388659
2139,5565472.53430722,4947727.044926681
2140,5565552.434076501,4947685.4970466
2141,5565644.052478458,4947625.305887172
2142,5565726.5575725045,4947510.442959179
2143,5565765.729289386,4947171.456947698
2144,5565758.575481104,4947413.30516618
2145,5565798.121286086,4947072.774353199
2146,5565839.552909714,4946971.831852001
2147,5566376.467029256,4946247.8338668
2148,5566200.384686377,4946427.947629136
2149,5566271.195097664,4946369.9433560595
2150,5565981.229504464,4946549.32232912
2151,5565929.949179536,4946596.687332538
2152,5565881.737835682,4946685.576997771
2153,5563980.558558256,4961447.061781723
2154,5564200.443764731,4961274.977707092
2155,5562914.143699588,4953939.518310099
2156,5564350.220644503,4961061.465984861
2157,5566612.970346198,4967187.96536522
2158,5565790.5353890965,4967130.437531428
2159,5572071.622385748,4946449.793410189
