indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node
36648,59878,98,2267,1541,1603,12,98,223
94091,150206,98,2281,725,740,10,98,1558
30203,49540,98,1999,1120,1142,10,710,2141
56734,91937,98,2345,1236,1254,10,98,2345
95794,152770,98,2324,1049,1102,9,98,2371
85875,137866,98,2379,1623,1753,36,98,2378
4209,6681,98,2328,1053,1103,5,1753,1104
8341,13526,98,2279,618,636,11,348,1668
95436,152241,98,492,1704,1723,7,710,705
18945,31184,98,514,1505,1520,6,348,779
63087,101867,98,2349,1838,1905,21,1753,22
88748,142217,98,2280,1719,1736,11,1753,1603
70333,113226,98,536,903,921,5,348,1898
21177,34844,98,2326,1426,1434,4,348,170
31750,52149,98,545,1158,1214,4,1753,545
83476,134039,98,554,1002,1020,5,98,920
75802,122014,98,330,454,504,3,1753,2201
32180,52825,98,2307,1918,1931,5,348,1142
14915,24468,98,1788,1208,1222,3,710,1788
67645,109049,98,2159,1124,1138,3,710,2159
98075,156165,98,2350,1310,1339,11,1753,2011
43613,71096,98,1997,1347,1410,10,348,2008
45521,74029,98,2349,839,906,21,710,2349
30652,50340,98,1131,951,1004,6,98,2404
90497,144901,98,537,322,340,5,348,1903
42298,68916,98,2389,1545,1632,27,1753,1700
21542,35474,98,492,939,958,7,98,406
54937,89046,98,1358,809,829,6,1753,1358
96488,153875,98,2273,924,943,10,348,2273
26202,43097,98,2312,855,907,5,1753,2312
57749,93499,98,1358,1500,1520,6,348,2452
52911,85794,98,2350,1310,1339,11,348,870
30603,50278,99,2319,1853,1909,9,99,1714
7394,11963,99,2326,1712,1721,5,712,433
74681,120329,99,536,1716,1732,4,712,536
30047,49252,99,2328,1221,1232,5,2398,1107
65624,105806,99,2373,2100,2152,37,99,2451
63659,102752,99,84,1044,1103,13,99,1401
66486,107174,99,537,1702,1718,5,99,537
70328,113221,99,851,713,736,10,712,708
87893,140965,99,545,708,722,4,99,681
74047,119351,99,2322,1240,1256,8,2398,1137
38595,63040,99,691,1258,1312,4,2398,622
18640,30663,99,2343,1526,1551,15,2398,212
32332,53096,99,671,941,956,4,2398,679
